Asset Details,,,,,Heat Map Detail,,,Asset Property Values,,
Unique Identifier,Name,Location,Section,Monitor Class,X,Y,Symbol,Pump Volume,Well depth (mBTOC),Pump Install Depth (mBTOC)
SNGWK018,Gas well,Suntown,Well Station K,Gas Extraction,536582.891,6909680.1,K018,,,
SNGWK019,Gas well,Suntown,Well Station K,Gas Extraction,536636.895,6909657.57,K019,,,
SNGWK020,Gas well,Suntown,Well Station K,Gas Extraction,536465.149,6909557.99,K020,,,
SNGWK022,Gas well,Suntown,Well Station K,Gas Extraction,536545.648,6909695.28,K022,,,
SNGWK023,Gas well,Suntown,Well Station K,Gas Extraction,536550.939,6909597.38,K023,,,
SNGWR001,Gas well,Suntown,Well Station R,Gas Extraction,536227.063,6909098.95,R001,,,
SNGWR002,Gas well,Suntown,Well Station R,Gas Extraction,536234.792,6909136.19,R002,,,
SNGWR003,Gas well,Suntown,Well Station R,Gas Extraction,536246.156,6909171.7,R003,,,
SNGWR004,Gas well,Suntown,Well Station R,Gas Extraction,536278.151,6909151.89,R004,,,
SNGWR005,Gas well,Suntown,Well Station R,Gas Extraction,536256.369,6909207.45,R005,,,
SNGWR006,Gas well,Suntown,Well Station R,Gas Extraction,536283.125,6909192.03,R006,,,
SNGWR007,Gas well,Suntown,Well Station R,Gas Extraction,536345.911,6909311.21,R007,,,
SNGWR008,Gas well,Suntown,Well Station R,Gas Extraction,536303.042,6909235.3,R008,,,
SNGWR009,Gas well,Suntown,Well Station R,Gas Extraction,536323.929,6909201.52,R009,,,
SNGWR010,Gas well,Suntown,Well Station R,Gas Extraction,536343.672,6909353.37,R010,,,
SNGWR011,Gas well,Suntown,Well Station R,Gas Extraction,536312.059,6909287.35,R011,,,
SNGWR012,Gas well,Suntown,Well Station R,Gas Extraction,536344,6909274.16,R012,,,
SNGWR013,Gas well,Suntown,Well Station R,Gas Extraction,536321.17,6909323.32,R013,,,
SNGWR014,Gas well,Suntown,Well Station R,Gas Extraction,536318.011,6909364.97,R014,,,
SNGWR015,Gas well,Suntown,Well Station R,Gas Extraction,536294.536,6909380.84,R015,,,
SNGWR016,Gas well,Suntown,Well Station R,Gas Extraction,536302.362,6909416.43,R016,,,
SNGWR017,Gas well,Suntown,Well Station R,Gas Extraction,536339.15,6909395.56,R017,,,
SNGWR018,Gas well,Suntown,Well Station R,Gas Extraction,536322.156,6909442.88,R018,,,
SNGWR019,Gas well,Suntown,Well Station R,Gas Extraction,536339.363,6909474.4,R019,,,
SNGWR020,Gas well,Suntown,Well Station R,Gas Extraction,536363.567,6909501.67,R020,,,
SNGWS001,Gas well,Suntown,Well Station S,Gas Extraction,536373.972,6909193.11,S001,,,
SNGWS002,Gas well,Suntown,Well Station S,Gas Extraction,536409.236,6909183.23,S002,,,
SNGWS003,Gas well,Suntown,Well Station S,Gas Extraction,536415.96,6909146.9,S003,,,
SNGWS004,Gas well,Suntown,Well Station S,Gas Extraction,536448.621,6909171.81,S004,,,
SNGWS005,Gas well,Suntown,Well Station S,Gas Extraction,536482.514,6909191.47,S005,,,
SNGWS006,Gas well,Suntown,Well Station S,Gas Extraction,536508.021,6909219.03,S006,,,
SNGWS007,Gas well,Suntown,Well Station S,Gas Extraction,536501.214,6909256.78,S007,,,
SNGWS008,Gas well,Suntown,Well Station S,Gas Extraction,536537.79,6909242.85,S008,,,
SNGWS009,Gas well,Suntown,Well Station S,Gas Extraction,536529.391,6909284.14,S009,,,
SNGWS010,Gas well,Suntown,Well Station S,Gas Extraction,536568.98,6909269.39,S010,,,
SNGWS011,Gas well,Suntown,Well Station S,Gas Extraction,536529.795,6909326.1,S011,,,
SNGWS012,Gas well,Suntown,Well Station S,Gas Extraction,536567.54,6909311.01,S012,,,
SNGWS013,Gas well,Suntown,Well Station S,Gas Extraction,536576.571,6909344.26,S013,,,
SNGWS014,Gas well,Suntown,Well Station S,Gas Extraction,536582.456,6909376.52,S014,,,
